Code,State,Age,Both Sexes
13,GA,55-59,233042
13,GA,60-61,80272
13,GA,62-64M,53296
13,GA,62-64F,64834
13,GA,65+,453870
15,HI,0-2,44038
15,HI,3-4,28996
15,HI,5-13,138056
15,HI,14,17370
15,HI,15,17258
15,HI,16,16938
15,HI,17,17874
15,HI,18,17431
15,HI,19,20600
15,HI,20,22576
15,HI,21,20836
15,HI,22,19842
15,HI,23,18722
15,HI,24,17643
15,HI,25-29,79446
15,HI,30-34,72136
15,HI,35-44,100453
15,HI,45-54,98443
15,HI,55-59,40968
15,HI,60-61,13601
15,HI,62-64M,10287
15,HI,62-64F,8561
15,HI,65+,62116
16,ID,0-2,48199
16,ID,3-4,29672
16,ID,5-13,139606
16,ID,14,18016
16,ID,15,18560
16,ID,16,18062
16,ID,17,17768
16,ID,18,17453
16,ID,19,17219
16,ID,20,16173
16,ID,21,15267
16,ID,22,15556
16,ID,23,14977
16,ID,24,14736
16,ID,25-29,71779
16,ID,30-34,55216
16,ID,35-44,88879
16,ID,45-54,81649
16,ID,55-59,40359
16,ID,60-61,14555
16,ID,62-64M,10519
16,ID,62-64F,10866
16,ID,65+,81897
17,IL,0-2,480209
17,IL,3-4,338441
17,IL,5-13,1741041
17,IL,14,221667
17,IL,15,229174
17,IL,16,225010
17,IL,17,224970
17,IL,18,219064
17,IL,19,219596
17,IL,20,212258
17,IL,21,206359
17,IL,22,200181
17,IL,23,196292
17,IL,24,199909
17,IL,25-29,927126
17,IL,30-34,765070
17,IL,35-44,1207789
17,IL,45-54,1250694
17,IL,55-59,580403
17,IL,60-61,210348
17,IL,62-64M,136912
17,IL,62-64F,158909
17,IL,65+,1191432
18,IN,0-2,241571
18,IN,3-4,171574
18,IN,5-13,860920
18,IN,14,107151
18,IN,15,110039
18,IN,16,107589
18,IN,17,107510
18,IN,18,108907
18,IN,19,110555
18,IN,20,104969
18,IN,21,101066
18,IN,22,97707
18,IN,23,94436
18,IN,24,93819
18,IN,25-29,447832
18,IN,30-34,348285
18,IN,35-44,562812
18,IN,45-54,580268
18,IN,55-59,260267
18,IN,60-61,92736
18,IN,62-64M,61570
18,IN,62-64F,70676
18,IN,65+,546830
19,IA,0-2,120258
19,IA,3-4,81878
19,IA,5-13,448637
19,IA,14,59029
19,IA,15,60283
19,IA,16,59122
19,IA,17,57945
19,IA,18,56503
19,IA,19,56493
19,IA,20,53813
19,IA,21,51061
19,IA,22,50221
19,IA,23,49118
19,IA,24,51000
19,IA,25-29,239833
19,IA,30-34,170570
19,IA,35-44,287781
19,IA,45-54,301297
19,IA,55-59,145471
19,IA,60-61,53405
19,IA,62-64M,36641
19,IA,62-64F,41413
19,IA,65+,371310
20,KS,0-2,97703
20,KS,3-4,64975
20,KS,5-13,334398
20,KS,14,43900
20,KS,15,45843
20,KS,16,44668
20,KS,17,44595
20,KS,18,46826
20,KS,19,48858
20,KS,20,47575
20,KS,21,45210
20,KS,22,43722
20,KS,23,41839
20,KS,24,40738
20,KS,25-29,190672
20,KS,30-34,138153
20,KS,35-44,231015
20,KS,45-54,242897
20,KS,55-59,113739
20,KS,60-61,41398
20,KS,62-64M,28659
20,KS,62-64F,32697
20,KS,65+,290919
21,KY,0-2,159859
21,KY,3-4,111005
21,KY,5-13,554581
21,KY,14,69789
21,KY,15,70972
21,KY,16,70652
21,KY,17,71596
21,KY,18,71326
21,KY,19,72634
21,KY,20,69030
21,KY,21,66842
21,KY,22,64115
21,KY,23,62205
21,KY,24,62649
21,KY,25-29,299103
21,KY,30-34,220352
21,KY,35-44,367995
21,KY,45-54,366196
21,KY,55-59,166649
21,KY,60-61,59856
21,KY,62-64M,41377
21,KY,62-64F,48955
21,KY,65+,381520
22,LA,0-2,191706
