Code,State,Year,Republican Votes,Democrat Votes,Winner
2,AK,1988,119251,72584, RED
4,AZ,1988,702541,454029, RED
5,AR,1988,466578,349237, RED
6,CA,1988,5054917,4702233, RED
8,CO,1988,728177,621453, RED
9,CT,1988,750241,676584, RED
10,DE,1988,139639,108647, RED
11,DC,1988,27590,159407, BLUE
12,FL,1988,2618885,1656701, RED
13,GA,1988,1081331,714792, RED
15,HI,1988,158625,192364, BLUE
16,ID,1988,253881,147272, RED
17,IL,1988,2310939,2215940, RED
18,IN,1988,1297763,860643, RED
19,IA,1988,545355,670557, BLUE
20,KS,1988,554049,422636, RED
21,KY,1988,734281,580368, RED
22,LA,1988,883702,717460, RED
23,ME,1988,307131,243569, RED
24,MD,1988,876167,826304, RED
25,MA,1988,1194635,1401415, BLUE
26,MI,1988,1965486,1675783, RED
27,MN,1988,962337,1109471, BLUE
28,MS,1988,557890,363921, RED
29,MO,1988,1084953,1001619, RED
30,MT,1988,190412,168936, RED
31,NE,1988,397956,259235, RED
32,NV,1988,206040,132738, RED
33,NH,1988,281537,163696, RED
34,NJ,1988,1743192,1320352, RED
35,NM,1988,270341,244497, RED
36,NY,1988,2838414,3255487, BLUE
37,NC,1988,1237258,890167, RED
38,ND,1988,166559,127739, RED
39,OH,1988,2416549,1939629, RED
40,OK,1988,678367,483423, RED
41,OR,1988,560126,616206, BLUE
42,PA,1988,2300087,2194944, RED
44,RI,1988,177761,225123, BLUE
45,SC,1988,606443,370554, RED
46,SD,1988,165415,145560, RED
47,TN,1988,947233,679794, RED
48,TX,1988,3036829,2352748, RED
49,UT,1988,428442,207343, RED
50,VT,1988,124331,115775, RED
51,VA,1988,1309162,859799, RED
53,WA,1988,903835,933516, BLUE
54,WV,1988,310065,341016, BLUE
55,WI,1988,1047499,1126794, BLUE
56,WY,1988,106867,67113, RED
1,AL,1992,804283,690080, RED
2,AK,1992,102000,78294, RED
4,AZ,1992,572086,543050, RED
5,AR,1992,337324,505823, BLUE
6,CA,1992,3630574,5121325, BLUE
8,CO,1992,562850,629681, BLUE
9,CT,1992,578313,682318, BLUE
10,DE,1992,102313,126054, BLUE
11,DC,1992,20698,192619, BLUE
12,FL,1992,2173310,2071698, RED
13,GA,1992,995252,1008966, BLUE
15,HI,1992,136822,179310, BLUE
16,ID,1992,202645,137013, RED
17,IL,1992,1734096,2453350, BLUE
18,IN,1992,989375,848420, RED
19,IA,1992,504891,586353, BLUE
20,KS,1992,449951,390434, RED
21,KY,1992,617178,665104, BLUE
22,LA,1992,733386,815971, BLUE
23,ME,1992,206504,263420, BLUE
24,MD,1992,707094,988571, BLUE
25,MA,1992,805039,1318639, BLUE
26,MI,1992,1554940,1871182, BLUE
27,MN,1992,747841,1020997, BLUE
28,MS,1992,487793,400258, RED
29,MO,1992,811159,1053873, BLUE
30,MT,1992,144207,154507, BLUE
31,NE,1992,343678,216864, RED
32,NV,1992,175828,189148, BLUE
33,NH,1992,202484,209040, BLUE
34,NJ,1992,1356865,1436206, BLUE
